"Cohort","Replication","KNN","LR","MLP"
"TCGA-COAD","31","0.5","0.723287671232877","0.599086757990868"
"TCGA-COAD","32","0.5","0.5","0.40730593607306"
"TCGA-COAD","33","0.533333333333333","0.730593607305936","0.521461187214612"
"TCGA-COAD","34","0.5","0.673972602739726","0.526027397260274"
"TCGA-COAD","35","0.5","0.640182648401826","0.424657534246575"
"TCGA-COAD","36","0.5","0.676712328767124","0.484931506849315"
"TCGA-COAD","37","0.5","0.696803652968036","0.530593607305936"
"TCGA-COAD","38","0.5","0.669406392694064","0.589041095890411"
"TCGA-COAD","39","0.452054794520548","0.703196347031963","0.6337899543379"
"TCGA-COAD","40","0.493150684931507","0.666666666666667","0.534246575342466"
"TCGA-COAD","41","0.5","0.663013698630137","0.541552511415525"
"TCGA-COAD","42","0.5","0.551598173515982","0.489497716894977"
"TCGA-COAD","43","0.5","0.599086757990868","0.613698630136986"
"TCGA-COAD","44","0.5","0.597260273972603","0.51689497716895"
"TCGA-COAD","45","0.533333333333333","0.69406392694064","0.461187214611872"
"TCGA-COAD","46","0.5","0.673059360730594","0.481278538812785"
"TCGA-COAD","47","0.5","0.65662100456621","0.555251141552511"
"TCGA-COAD","48","0.493150684931507","0.71689497716895","0.602739726027397"
"TCGA-COAD","49","0.493150684931507","0.750684931506849","0.69041095890411"
"TCGA-COAD","50","0.5","0.6337899543379","0.631050228310502"
"TCGA-COAD","51","0.5","0.737899543378995","0.610958904109589"
"TCGA-COAD","52","0.5","0.679452054794521","0.612785388127854"
"TCGA-COAD","53","0.5","0.637442922374429","0.527853881278539"
"TCGA-COAD","54","0.493150684931507","0.623744292237443","0.650228310502283"
"TCGA-COAD","55","0.5","0.700456621004566","0.698630136986302"
"TCGA-COAD","56","0.533333333333333","0.734246575342466","0.727853881278539"
"TCGA-COAD","57","0.51689497716895","0.676712328767123","0.608219178082192"
"TCGA-COAD","58","0.493150684931507","0.583561643835617","0.450228310502283"
"TCGA-COAD","59","0.533333333333333","0.71689497716895","0.677625570776256"
"TCGA-COAD","60","0.533333333333333","0.5","0.552511415525114"
"TCGA-COAD","61","0.533333333333333","0.614611872146118","0.528767123287671"
"TCGA-COAD","62","0.533333333333333","0.68310502283105","0.642922374429224"
"TCGA-COAD","63","0.493150684931507","0.5","0.535159817351598"
"TCGA-COAD","64","0.493150684931507","0.65296803652968","0.535159817351598"
"TCGA-COAD","65","0.493150684931507","0.5","0.487671232876712"
"TCGA-COAD","66","0.5","0.503196347031963","0.65662100456621"
